startNode,endNode
D02,MongoDb
D02,Oracle-BIRI
D02,Oracle-CART
D05,MongoDb
D05,Oracle-SOCCER
D03,MongoDb
D03,Oracle-NEMESI
D03,Oracle-CART
D06,Oracle-ARPA
D07,Oracle-PREGIUD
Oracle-NEMESI,Teradata
Oracle-NEMESI,Oracle-MAT
Oracle-CART,Oracle-RIC
Oracle-SOCCER,Oracle-NEMESI
Oracle-SOCCER,Oracle-MAT
Oracle-NEMESI,Oracle-MAT
Oracle-CART,Oracle-FALLIMENTI
Oracle-ARPA,Oracle-MAT
Oracle-PREGIUD,Oracle-MAT
Oracle-SOCCER,Teradata
Oracle-MAT,Teradata
Oracle-MAT,Hadoop
Oracle-MAT,MongoDb
Oracle-MAT,Neo4J
Oracle-MAT,Solr
Oracle-RIC,Oracle-UGNA
Oracle-NEMESI,Dati Lince
Oracle-FALLIMENTI,Oracle-MAT
Oracle-FALLIMENTI,Teradata
Oracle-FALLIMENTI,Oracle-UGNA
MongoDb,Cloud
Oracle-UGNA,Oracle-BIRI